PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,SEASON,POSITION,POS_EST,GAMES,MIN,DEF_POSS,RIM BLKS/75,BLKS/75,RIM CONTEST/75,%RIM_CONTEST,%BLK_RATE_CONTEST,OPP_RIM_FREQ_ON,OPP_RIM_FG_ON,OPP_RIM_FREQ_ON-OFF,OPP_RIM_FG_ON-OFF,RA_FREQ,OPP_RA_FGA/75,PAINT_NO_RA_FREQ,OPP_PAINT_NO_RA_FGA/75,PAINT_W_RA_FREQ,OPP_PAINT_W_RA_FGA/75,SEASON_ABRV
2564,Boris Diaw,SAS,32.0,2013-14,C-F,4.02,79.0,1974.0,3907.0,0.3,0.6,4.4,20.9,7.9,31.2,59.199999999999996,1.4000000000000021,1.0,31.3,20.9,17.2,11.5,48.5,32.4,2013
201148,Brandan Wright,DAL,26.0,2013-14,F,4.11,58.0,1077.0,2063.0,1.3,2.0,6.0,27.2,22.0,33.900000000000006,65.0,2.2000000000000064,1.2999999999999972,34.0,22.0,13.5,8.8,47.5,30.7,2013
101138,Brandon Bass,BOS,29.0,2013-14,F,4.15,82.0,2266.0,4402.0,0.8,1.2,4.8,20.2,16.1,35.8,62.5,2.299999999999997,2.5,35.8,23.6,14.9,9.8,50.7,33.4,2013
203561,Brandon Davies,PHI,22.0,2013-14,F,4.24,51.0,575.0,1166.0,0.4,0.5,4.8,26.1,8.1,30.3,60.8,-4.0000000000000036,-2.6000000000000014,30.3,18.2,10.1,6.0,40.4,24.2,2013
201572,Brook Lopez,BKN,26.0,2013-14,C,5.0,17.0,533.0,1021.0,1.4,2.2,7.1,34.3,19.8,29.9,54.800000000000004,-3.8000000000000043,-6.799999999999997,30.0,20.6,14.9,10.2,45.0,30.8,2013
201171,Carl Landry,SAC,30.0,2013-14,F,4.48,18.0,233.0,466.0,0.0,0.2,5.0,32.6,0.0,24.0,68.8,-4.799999999999997,3.5999999999999943,24.5,15.3,21.6,13.5,46.1,28.8,2013
2430,Carlos Boozer,CHI,32.0,2013-14,F,4.13,76.0,2141.0,4075.0,0.3,0.4,3.8,19.3,8.2,30.0,60.9,-0.3999999999999986,7.699999999999996,30.1,19.7,13.7,9.0,43.8,28.7,2013
101112,Channing Frye,PHX,31.0,2013-14,F-C,5.0,82.0,2312.0,4562.0,0.7,1.0,6.1,27.8,11.9,33.0,61.5,-1.7999999999999972,0.5,33.2,21.9,16.4,10.8,49.6,32.7,2013
101111,Charlie Villanueva,DET,29.0,2013-14,F,4.32,20.0,180.0,348.0,0.9,1.1,6.2,25.2,13.8,36.7,59.099999999999994,2.700000000000003,-3.8000000000000043,36.7,24.8,11.2,7.5,47.9,32.3,2013
2365,Chris Andersen,MIA,35.0,2013-14,F-C,4.96,72.0,1396.0,2614.0,2.2,2.8,7.2,33.0,30.4,33.6,58.3,1.2999999999999972,-3.700000000000003,33.7,21.7,13.9,9.0,47.5,30.7,2013
2547,Chris Bosh,MIA,30.0,2013-14,F,4.45,79.0,2531.0,4804.0,0.9,1.2,5.8,28.0,15.5,31.900000000000002,59.099999999999994,-2.1999999999999993,-4.1000000000000085,32.0,20.8,14.5,9.4,46.5,30.2,2013
2549,Chris Kaman,LAL,32.0,2013-14,C,5.0,39.0,736.0,1519.0,1.3,2.0,8.0,34.3,16.7,34.300000000000004,60.099999999999994,-1.3999999999999915,-3.500000000000007,34.4,23.3,14.4,9.8,48.8,33.1,2013
203469,Cody Zeller,CHA,21.0,2013-14,F-C,5.0,81.0,1400.0,2761.0,0.9,1.1,4.2,18.5,21.4,33.300000000000004,57.199999999999996,3.8000000000000043,-1.1000000000000014,33.3,22.6,15.4,10.5,48.7,33.0,2013
201589,Darrell Arthur,DEN,26.0,2013-14,F,4.8,68.0,1161.0,2342.0,0.9,1.5,4.8,24.2,19.2,30.8,58.4,-3.400000000000002,-2.6000000000000014,30.8,20.0,14.9,9.7,45.8,29.7,2013
101135,David Lee,GSW,31.0,2013-14,F-C,4.01,68.0,2253.0,4503.0,0.2,0.4,3.7,20.0,6.2,27.900000000000002,59.099999999999994,-0.5999999999999943,-2.6000000000000085,28.1,18.7,18.8,12.5,46.9,31.2,2013
2561,David West,IND,33.0,2013-14,F,4.98,80.0,2472.0,4730.0,0.7,1.2,3.5,17.3,19.7,29.4,52.0,0.3000000000000007,-2.700000000000003,29.6,20.0,15.8,10.7,45.3,30.7,2013
201599,DeAndre Jordan,LAC,25.0,2013-14,C,5.0,82.0,2870.0,5702.0,1.4,2.7,7.1,32.6,19.2,32.0,61.7,-1.9000000000000057,-0.5,32.2,21.6,16.3,11.0,48.5,32.6,2013
201971,DeJuan Blair,DAL,25.0,2013-14,C-F,4.99,78.0,1214.0,2423.0,0.4,0.7,6.0,30.9,7.2,30.8,64.1,-2.099999999999998,0.0,30.9,19.5,16.0,10.1,46.9,29.6,2013
202326,DeMarcus Cousins,SAC,23.0,2013-14,C,4.99,70.0,2277.0,4450.0,0.8,1.5,5.6,29.0,13.9,29.2,65.0,1.4999999999999964,-0.7999999999999972,29.3,19.1,16.4,10.7,45.8,29.8,2013
202324,Derrick Favors,UTA,22.0,2013-14,F,5.0,73.0,2201.0,4175.0,1.4,1.9,7.1,30.7,19.9,34.599999999999994,61.4,0.9999999999999929,-2.8999999999999986,34.7,23.1,16.7,11.1,51.4,34.3,2013
1717,Dirk Nowitzki,DAL,36.0,2013-14,F,4.13,80.0,2628.0,5060.0,0.5,0.7,5.6,27.2,9.2,31.8,63.800000000000004,-1.4000000000000021,-0.8999999999999986,31.9,20.6,14.4,9.3,46.4,30.0,2013
203110,Draymond Green,GSW,24.0,2013-14,F,4.26,81.0,1775.0,3573.0,0.7,1.5,4.8,26.4,14.9,27.900000000000002,59.199999999999996,-0.49999999999999645,-1.8000000000000043,28.1,18.1,18.1,11.6,46.2,29.8,2013
2400,Drew Gooden,WAS,32.0,2013-14,F,4.3,21.0,377.0,704.0,0.7,0.5,6.3,31.6,11.9,29.5,66.7,-1.1999999999999993,5.0,29.7,19.9,15.4,10.3,45.1,30.3,2013
2730,Dwight Howard,HOU,28.0,2013-14,C-F,5.0,71.0,2396.0,4731.0,1.0,2.0,5.8,27.3,18.1,30.599999999999998,62.2,-1.600000000000005,2.6000000000000085,30.8,21.2,16.1,11.0,46.8,32.2,2013
202334,Ed Davis,MEM,25.0,2013-14,C-F,4.64,63.0,956.0,1803.0,1.5,1.8,4.9,25.3,29.9,29.599999999999998,57.4,-0.6000000000000014,-4.200000000000003,29.7,19.2,14.9,9.7,44.7,28.9,2013
202327,Ekpe Udoh,MIL,27.0,2013-14,C-F,5.01,42.0,804.0,1503.0,1.4,2.2,7.5,30.0,18.5,35.3,56.99999999999999,0.8999999999999986,-4.200000000000003,35.7,25.1,12.8,9.0,48.5,34.2,2013
1882,Elton Brand,ATL,35.0,2013-14,F,4.9,72.0,1392.0,2735.0,1.6,2.3,6.7,31.4,24.7,31.5,60.5,-1.3999999999999986,-0.3999999999999986,31.7,21.2,15.5,10.3,47.2,31.5,2013
202683,Enes Freedom,UTA,22.0,2013-14,C,5.0,80.0,2138.0,4048.0,0.4,0.8,6.3,27.4,7.0,34.9,63.3,1.5999999999999943,1.3999999999999986,35.2,23.0,16.2,10.6,51.3,33.7,2013
101141,Ersan Ilyasova,MIL,27.0,2013-14,F,4.64,54.0,1455.0,2802.0,0.2,0.2,6.0,25.7,3.1,35.199999999999996,60.8,0.9999999999999929,0.7999999999999972,35.3,23.2,12.2,8.1,47.5,31.3,2013
203507,Giannis Antetokounmpo,MIL,19.0,2013-14,F,4.41,76.0,1880.0,3595.0,0.9,1.3,4.3,18.1,20.5,35.099999999999994,56.8,0.9999999999999929,-6.800000000000004,35.2,23.6,12.7,8.6,47.9,32.2,2013
203476,Gorgui Dieng,MIN,24.0,2013-14,C,4.82,60.0,818.0,1638.0,1.7,2.3,8.3,38.1,20.4,32.4,62.8,0.19999999999999574,-2.8000000000000114,32.5,21.7,16.3,10.9,48.8,32.6,2013
202328,Greg Monroe,DET,24.0,2013-14,C,5.0,82.0,2690.0,5294.0,0.5,0.7,5.5,24.1,8.5,34.699999999999996,63.9,1.8999999999999915,4.0,34.8,22.9,13.2,8.7,48.0,31.5,2013
201141,Greg Oden,MIA,26.0,2013-14,C,5.0,23.0,212.0,406.0,2.0,2.4,5.2,23.1,39.3,34.9,60.0,2.299999999999997,-0.6999999999999957,35.2,22.4,14.2,9.1,49.4,31.4,2013
202962,Greg Smith,HOU,23.0,2013-14,C,4.61,11.0,100.0,202.0,0.4,0.7,3.7,20.4,10.0,27.800000000000004,65.3,-3.4999999999999964,4.299999999999997,27.8,18.2,17.0,11.1,44.9,29.3,2013
201880,Greg Stiemsma,NOP,28.0,2013-14,C,4.82,55.0,1007.0,1900.0,1.5,2.2,7.0,33.3,21.9,33.1,63.7,-2.3999999999999986,1.1000000000000014,33.1,21.1,14.7,9.4,47.8,30.5,2013
202970,Gustavo Ayon,ATL,29.0,2013-14,F-C,4.98,25.0,421.0,828.0,0.9,0.9,7.5,31.6,12.0,34.699999999999996,60.8,2.499999999999993,0.10000000000000142,34.7,23.8,12.9,8.9,47.6,32.7,2013
201934,Hasheem Thabeet,OKC,27.0,2013-14,C,5.0,23.0,192.0,390.0,1.3,1.7,4.8,21.9,28.0,35.3,56.99999999999999,2.299999999999997,0.29999999999999716,35.3,21.9,10.8,6.7,46.1,28.7,2013
101133,Ian Mahinmi,IND,27.0,2013-14,C,5.0,77.0,1248.0,2408.0,1.7,2.2,7.5,38.8,23.2,30.0,53.6,1.0000000000000036,0.8999999999999986,30.1,19.3,14.5,9.3,44.5,28.7,2013
201581,JJ Hickson,DEN,25.0,2013-14,C-F,4.96,69.0,1859.0,3768.0,0.8,1.0,5.5,24.2,14.2,33.5,63.2,0.5,5.500000000000007,33.6,22.6,15.4,10.3,49.0,32.9,2013
201949,James Johnson,MEM,27.0,2013-14,F,4.04,52.0,956.0,1826.0,0.8,2.3,3.5,18.3,23.3,29.4,57.99999999999999,-0.9000000000000021,-3.4000000000000057,29.4,19.3,15.5,10.2,45.0,29.5,2013
201162,Jared Dudley,LAC,28.0,2013-14,F,4.06,74.0,1729.0,3410.0,0.1,0.2,4.0,18.9,2.7,31.8,62.1,-1.3000000000000007,0.3999999999999986,32.0,21.3,16.0,10.6,48.0,31.9,2013
203096,Jared Sullinger,BOS,22.0,2013-14,C-F,4.3,74.0,2041.0,3945.0,0.8,0.9,6.5,29.4,12.5,34.1,62.4,-1.3999999999999986,1.7000000000000028,34.2,22.1,16.1,10.4,50.3,32.5,2013
2215,Jason Collins,BKN,35.0,2013-14,C,5.0,22.0,172.0,343.0,0.2,0.2,7.7,37.6,2.9,33.800000000000004,66.7,0.7000000000000028,6.200000000000003,33.8,20.3,11.3,6.8,45.1,27.1,2013
101131,Jason Maxiell,ORL,31.0,2013-14,F,4.39,34.0,488.0,944.0,1.2,1.6,4.8,22.8,24.6,30.3,61.1,0.6000000000000014,-0.8999999999999986,30.5,21.2,12.1,8.4,42.7,29.6,2013
201160,Jason Smith,NOP,28.0,2013-14,F-C,5.0,31.0,830.0,1601.0,1.0,1.4,6.6,27.8,15.7,35.6,64.7,0.9000000000000057,2.3000000000000043,35.6,23.6,13.1,8.7,48.8,32.2,2013
201574,Jason Thompson,SAC,27.0,2013-14,F-C,4.53,81.0,1979.0,3854.0,0.7,1.1,4.8,25.2,13.9,28.299999999999997,64.2,-0.5,-2.299999999999997,28.4,18.9,16.8,11.2,45.3,30.1,2013
201965,Jeff Ayres,SAS,27.0,2013-14,F-C,4.83,73.0,952.0,1892.0,0.6,1.0,5.5,28.0,11.4,29.299999999999997,62.6,-1.5000000000000036,5.000000000000007,29.7,19.8,17.8,11.9,47.4,31.7,2013
201145,Jeff Green,BOS,27.0,2013-14,F,4.06,82.0,2805.0,5489.0,0.5,0.6,3.1,13.4,16.0,35.199999999999996,62.2,1.29999999999999,2.4000000000000057,35.2,23.0,15.1,9.8,50.3,32.8,2013
202719,Jeremy Tyler,NYK,23.0,2013-14,F,4.57,41.0,398.0,770.0,1.9,1.9,6.1,27.5,30.2,35.199999999999996,61.1,1.7999999999999972,-0.5,35.2,22.3,11.5,7.3,46.8,29.6,2013
979,Jermaine O'Neal,GSW,35.0,2013-14,C-F,4.72,43.0,862.0,1682.0,1.5,1.8,6.6,34.4,22.1,27.500000000000004,60.099999999999994,-0.899999999999995,-0.10000000000000142,27.6,19.3,17.3,12.1,44.9,31.4,2013
201149,Joakim Noah,CHI,29.0,2013-14,F-C,5.0,80.0,2820.0,5236.0,1.1,1.7,5.5,27.4,19.8,29.799999999999997,57.3,-1.4000000000000021,0.0,29.8,20.1,14.1,9.5,43.9,29.6,2013
200777,Joel Freeland,POR,27.0,2013-14,C-F,4.4,52.0,727.0,1417.0,0.7,1.2,7.3,31.6,10.2,33.1,55.60000000000001,-0.8000000000000043,-1.6999999999999886,33.3,22.9,18.1,12.4,51.4,35.4,2013
203089,John Henson,MIL,23.0,2013-14,F-C,5.0,69.0,1832.0,3480.0,1.6,2.5,6.1,25.2,26.4,35.5,60.199999999999996,1.7999999999999972,-0.10000000000000142,35.7,24.3,12.3,8.3,48.0,32.7,2013
202720,Jon Leuer,MEM,25.0,2013-14,F,4.29,49.0,642.0,1211.0,0.6,0.8,4.3,23.5,13.0,28.599999999999998,60.9,-1.7000000000000028,0.3999999999999986,28.6,18.2,16.0,10.2,44.6,28.4,2013
202685,Jonas Valanciunas,TOR,22.0,2013-14,C,5.0,80.0,2266.0,4313.0,0.8,1.2,7.4,33.1,10.6,33.0,59.199999999999996,-1.5,-1.7000000000000028,33.2,22.2,17.4,11.7,50.6,33.9,2013
201941,Jordan Hill,LAL,26.0,2013-14,F-C,4.78,72.0,1500.0,3009.0,1.1,1.6,7.7,29.7,14.5,37.2,61.5,2.8000000000000043,-2.3999999999999986,37.6,26.0,13.7,9.5,51.3,35.5,2013
202725,Josh Harrellson,DET,25.0,2013-14,F-C,4.77,32.0,317.0,623.0,1.0,1.8,6.5,33.5,14.8,31.0,52.2,-3.3000000000000043,-11.199999999999996,31.0,19.4,16.7,10.5,47.7,29.9,2013
201177,Josh McRoberts,CHA,27.0,2013-14,F,4.69,77.0,2329.0,4381.0,0.5,0.8,3.9,19.0,14.1,29.799999999999997,58.3,-2.6000000000000014,0.8999999999999986,29.9,20.4,14.2,9.7,44.0,30.1,2013
2746,Josh Smith,DET,28.0,2013-14,F,4.58,77.0,2730.0,5407.0,1.0,1.5,5.3,23.7,19.1,33.6,62.0,-1.5999999999999943,-2.200000000000003,33.7,22.3,14.1,9.4,47.9,31.7,2013
203482,Kelly Olynyk,BOS,23.0,2013-14,F-C,4.89,70.0,1400.0,2728.0,0.5,0.7,5.6,24.0,8.9,35.099999999999994,61.8,0.5,0.3999999999999986,35.3,23.1,15.0,9.8,50.3,32.9,2013
